# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,89,25,0.01553
2018-06-14,137,10,0.033399
2018-06-14,81,17,0.046363
2018-06-14,97,9,0.046264
2018-06-14,9,1,0.038363
2018-06-14,69,19,0.033255
2018-06-14,33,8,0.029705
2018-06-14,137,7,0.055392
2018-06-14,61,30,0.022198
2018-06-14,69,18,0.024124
2018-06-14,49,21,0.037322
2018-06-14,97,24,0.004278
2018-06-14,129,29,0.015026
2018-06-14,121,10,0.101692
2018-06-14,45,9,0.035268
2018-06-14,25,23,0.051147
2018-06-14,77,4,0.038145
2018-06-14,117,15,0.023403
2018-06-14,37,16,0.081118
2018-06-14,113,7,0.044359
2018-06-14,81,7,0.114853
2018-06-14,117,23,0.010437
2018-06-14,129,3,0.049016
2018-06-14,45,3,0.0399
2018-06-14,25,5,0.011491
2018-06-14,45,13,0.051534
2018-06-14,109,12,0.009048
2018-06-14,37,13,0.058592
2018-06-14,133,10,0.121024
2018-06-14,49,22,0.044351
2018-06-14,125,5,0.041353
2018-06-14,13,19,0.018872
2018-06-14,57,4,0.034213
2018-06-14,0,21,0.00714
2018-06-14,65,16,0.017746
2018-06-14,85,11,0.036011
2018-06-14,61,25,0.011515
2018-06-14,105,15,0.017191
2018-06-14,93,28,0.064897
2018-06-14,61,5,0.010196
2018-06-14,73,15,0.040582
2018-06-14,45,12,0.131883
2018-06-14,17,19,0.057331
2018-06-14,41,28,0.050977
2018-06-14,141,2,0.00871
2018-06-14,133,22,0.027026
2018-06-14,65,5,0.01833
2018-06-14,65,23,0.009457
2018-06-14,89,17,0.010595
2018-06-14,5,20,0.023087
2018-06-14,0,3,0.011945
2018-06-14,1,14,0.022253
2018-06-14,121,3,0.028379
2018-06-14,121,16,0.011131
2018-06-14,33,4,0.063016
2018-06-14,61,6,0.017544
2018-06-14,89,14,0.017504
2018-06-14,69,21,0.040701
2018-06-14,81,18,0.009168
2018-06-14,37,21,0.093016
2018-06-14,93,14,0.055724
