date,first_row,range,lai
6/8/2018,15,17,6.151853
6/8/2018,7,29,5.563142
6/8/2018,18,69,5.621388
6/8/2018,11,101,5.706699
6/8/2018,17,33,6.076327
6/8/2018,29,57,5.54892
6/8/2018,22,65,5.796013
6/8/2018,3,69,5.886183
6/8/2018,26,101,5.773483
6/8/2018,19,57,5.554925
6/8/2018,28,49,5.622173
6/8/2018,11,109,5.857634
6/8/2018,14,125,5.640087
6/8/2018,2,101,5.996144
6/8/2018,6,25,6.124077
6/8/2018,25,0,6.164015
6/8/2018,1,1,5.871254
6/8/2018,3,113,5.970719
6/8/2018,20,69,5.4892
6/8/2018,28,45,5.566491
6/8/2018,22,45,5.589544
6/8/2018,15,41,6.215005
6/8/2018,11,29,5.945804
6/8/2018,4,141,5.626413
6/8/2018,12,9,5.919145
6/8/2018,28,129,6.007126
6/8/2018,14,57,6.217482
6/8/2018,0,9,6.217482
6/8/2018,28,137,5.943476
6/8/2018,6,17,5.827023
6/8/2018,31,41,5.520294
6/8/2018,20,73,5.894174
6/8/2018,21,17,5.907664
6/8/2018,18,65,5.856456
6/8/2018,14,53,6.044752
6/8/2018,2,137,5.842962
6/8/2018,20,93,5.908182
6/8/2018,11,141,5.776854
6/8/2018,19,65,5.781147
6/8/2018,25,33,5.656063
6/8/2018,6,21,5.384474
6/8/2018,20,9,5.765931
6/8/2018,7,9,5.992832
6/8/2018,13,121,5.840167
6/8/2018,16,77,5.498272
6/8/2018,19,61,5.416224
6/8/2018,17,113,5.869646
6/8/2018,25,61,5.184683
6/8/2018,31,105,6.295974
6/8/2018,18,81,5.883857
6/8/2018,2,129,6.03155
6/8/2018,9,17,6.025246
6/8/2018,15,125,5.539869
6/8/2018,16,49,5.884915
6/8/2018,9,25,5.951834
6/8/2018,8,21,6.002535
6/8/2018,26,113,5.773513
6/8/2018,7,21,5.911268
6/8/2018,14,45,5.662498
6/8/2018,21,137,5.819613
6/8/2018,25,105,5.98117
6/8/2018,21,109,5.498337
6/8/2018,15,85,5.889118
6/8/2018,20,41,6.073173
6/8/2018,22,61,5.792095
6/8/2018,12,133,5.849664
6/8/2018,23,125,5.86368
6/8/2018,18,25,5.899189
6/8/2018,3,13,5.520512
6/8/2018,13,21,5.752291
6/8/2018,1,133,5.707059
6/8/2018,10,49,5.423167
6/8/2018,19,101,5.9284
6/8/2018,10,73,5.940505
6/8/2018,24,57,5.766145
6/8/2018,12,85,6.093854
6/8/2018,27,17,5.467303
6/8/2018,4,29,5.25816
6/8/2018,15,89,6.073409
6/8/2018,14,93,6.121861
6/8/2018,27,29,5.764895
6/8/2018,27,97,5.482777
6/8/2018,7,25,5.913053
6/8/2018,10,125,5.734453
6/8/2018,30,121,5.97963
6/8/2018,17,85,6.192883
6/8/2018,24,37,5.89497
6/8/2018,1,33,5.90284
6/8/2018,13,65,5.967081
6/8/2018,13,141,5.912493
6/8/2018,14,17,6.164683
6/8/2018,6,1,6.372055
6/8/2018,26,65,5.519168
6/8/2018,21,25,6.014214
6/8/2018,2,93,5.38876
6/8/2018,7,5,5.38407
6/8/2018,9,117,5.939379
6/8/2018,27,121,5.728317
6/8/2018,20,0,5.845651
6/8/2018,10,65,5.712161
6/8/2018,6,37,5.753782
6/8/2018,8,65,5.807539
6/8/2018,4,65,6.048909
6/8/2018,10,1,6.179805
6/8/2018,27,45,5.45936
6/8/2018,19,9,6.044077
6/8/2018,27,133,5.480212
